# Name,NameZh,Type,RAh,RAm,RAs,DecD,DecM,DecS,Mag,DistLY
M1,蟹状星云,SupernovaRemnant,5,34,31.9,22,0,52,8.40,6500
M2,球状星团,GlobularCluster,21,33,27.0,-0,49,24,6.50,33000
M3,球状星团,GlobularCluster,13,42,11.2,28,22,38,6.39,33900
M4,球状星团,GlobularCluster,16,23,35.5,-26,31,32,5.60,7200
M5,球状星团,GlobularCluster,15,18,33.2,2,4,52,5.67,24500
M6,蝴蝶星团,OpenCluster,17,40,20.0,-32,13,0,4.20,1600
M7,托勒密星团,OpenCluster,17,53,51.0,-34,47,34,3.30,980
M8,礁湖星云,Nebula,18,3,37.0,-24,23,12,6.00,5200
M9,球状星团,GlobularCluster,17,19,11.8,-18,30,59,7.70,25800
M10,球状星团,GlobularCluster,16,57,9.0,-4,6,0,6.60,14300
M11,野鸭星团,OpenCluster,18,51,48.0,-6,16,0,6.30,6200
M12,球状星团,GlobularCluster,16,47,14.4,-1,56,53,6.70,16000
M13,武仙座大星团,GlobularCluster,16,41,41.6,36,27,37,5.80,22200
M14,球状星团,GlobularCluster,17,37,36.2,-3,14,47,7.60,30300
M15,球状星团,GlobularCluster,21,29,58.3,12,10,1,6.20,33600
M16,鹰状星云,Nebula,18,18,48.0,-13,49,0,6.00,7000
M17,欧米茄星云,Nebula,18,20,26.0,-16,10,36,6.00,5500
M18,疏散星团,OpenCluster,18,19,57.0,-17,6,0,6.90,4900
M19,球状星团,GlobularCluster,17,2,37.7,-26,16,5,7.47,28000
M20,三裂星云,Nebula,18,2,23.0,-23,1,48,6.30,5200
M21,疏散星团,OpenCluster,18,4,36.0,-22,30,0,5.90,4350
M22,球状星团,GlobularCluster,18,36,23.8,-23,54,17,5.10,10600
M23,疏散星团,OpenCluster,17,56,48.0,-19,1,0,5.50,2150
M24,人马座恒星云,OpenCluster,18,17,0.0,-18,29,0,4.60,10000
M25,疏散星团,OpenCluster,18,31,20.0,-19,15,0,4.60,2000
M26,疏散星团,OpenCluster,18,45,20.0,-9,24,0,8.00,5000
M27,哑铃星云,PlanetaryNebula,19,59,36.3,22,43,16,7.40,1360
M28,球状星团,GlobularCluster,18,24,32.9,-24,52,12,6.80,18300
M29,疏散星团,OpenCluster,20,23,56.0,38,31,0,6.60,7200
M30,球状星团,GlobularCluster,21,40,22.1,-23,10,46,7.20,26100
M31,仙女座星系,Galaxy,0,42,44.3,41,16,9,3.44,2537000
M32,椭圆星系,Galaxy,0,42,41.8,40,51,55,8.08,2537000
M33,三角座星系,Galaxy,1,33,50.2,30,39,37,5.72,2723000
M34,疏散星团,OpenCluster,2,42,11.0,42,46,0,5.20,1500
M35,疏散星团,OpenCluster,6,9,0.0,24,20,0,5.10,2800
M36,疏散星团,OpenCluster,5,36,12.0,34,8,12,6.00,4100
M37,疏散星团,OpenCluster,5,52,18.0,32,33,0,5.60,4500
M38,疏散星团,OpenCluster,5,28,42.0,35,50,0,6.40,4200
M39,疏散星团,OpenCluster,21,32,30.0,48,26,0,4.60,820
M40,温尼克双星,DeepSky,12,22,12.0,58,5,0,8.40,510
M41,疏散星团,OpenCluster,6,46,0.0,-20,44,0,4.50,2300
M42,猎户座大星云,Nebula,5,35,17.3,-5,23,28,4.00,1344
M43,德梅朗星云,Nebula,5,35,31.0,-5,16,10,6.90,1344
M44,蜂巢星团,OpenCluster,8,40,24.0,19,40,0,3.10,577
M45,昴星团,OpenCluster,3,47,24.0,24,7,0,1.60,444
M46,疏散星团,OpenCluster,7,41,48.0,-14,49,0,6.00,5400
M47,疏散星团,OpenCluster,7,36,36.0,-14,29,0,4.40,1600
M48,疏散星团,OpenCluster,8,13,42.0,-5,45,0,5.50,1500
