# Name,NameZh,RAh,RAm,RAs,DecD,DecM,DecS,DistLY,Mag,BV
Sirius,天狼星,6,45,8.9,-16,42,58,8.6,-1.46,-0.06
Canopus,老人星,6,23,57.1,-52,41,45,310,-0.74,0.15
RigilKent,南门二,14,39,36.0,-60,50,7,4.37,-0.27,0.71
Arcturus,大角星,14,15,39.7,19,10,57,36.7,-0.05,1.23
Vega,织女星,18,36,56.3,38,47,1,25.0,0.03,0.0
Capella,五车二,5,16,41.3,45,59,53,42.9,0.08,0.8
Rigel,参宿七,5,14,32.3,-8,12,6,860,0.12,-0.03
Procyon,南河三,7,39,18.1,5,13,30,11.4,0.38,0.42
Betelgeuse,参宿四,5,55,10.3,7,24,25,640,0.42,1.85
Achernar,水委一,1,37,42.9,-57,14,12,139,0.46,-0.16
Hadar,马腹一,14,3,49.4,-60,22,23,390,0.61,-0.23
Altair,河鼓二,19,50,47.0,8,52,6,16.7,0.77,0.22
Acrux,十字架二,12,26,35.9,-63,5,56,320,0.77,-0.24
Aldebaran,毕宿五,4,35,55.2,16,30,33,65,0.85,1.54
Antares,心宿二,16,29,24.5,-26,25,55,550,0.96,1.83
Spica,角宿一,13,25,11.6,-11,9,41,250,0.97,-0.23
Pollux,北河三,7,45,18.9,28,1,34,34,1.14,1.0
Fomalhaut,北落师门,22,57,39.0,-29,37,20,25,1.16,0.09
Deneb,天津四,20,41,25.9,45,16,49,1400,1.25,0.09
Mimosa,十字架三,12,47,43.2,-59,41,19,352,1.25,-0.23
Regulus,轩辕十四,10,8,22.3,11,58,2,79,1.35,-0.11
Adhara,弧矢七,6,58,37.6,-28,58,20,430,1.5,-0.21
Castor,北河二,7,34,35.9,31,53,19,51,1.58,0.03
Shaula,尾宿八,17,33,36.5,-37,6,14,570,1.62,-0.22
Bellatrix,参宿五,5,25,7.9,6,20,59,240,1.64,-0.22
Elnath,五车五,5,26,17.5,28,36,28,130,1.65,-0.13
Alnilam,参宿二,5,36,12.8,-1,12,6,1340,1.69,-0.18
Alnitak,参宿一,5,40,45.5,-1,56,34,820,1.74,-0.2
KausAustralis,箕宿三,18,24,10.4,-34,23,5,140,1.79,-0.03
Mirfak,天船三,2,22,52.8,49,51,37,590,1.79,0.48
Dubhe,天枢,11,3,43.8,61,45,3,124,1.79,1.07
Alioth,玉衡,12,54,1.8,55,57,35,83,1.76,-0.02
Wezen,弧矢一,7,8,23.5,-26,23,37,1600,1.83,0.68
Alkaid,摇光,13,47,32.4,49,18,48,101,1.86,-0.1
Avior,海石一,8,22,30.8,-59,30,34,630,1.86,1.2
Polaris,北极星,2,31,49.1,89,15,51,433,1.98,0.6
Alphard,星宿一,9,27,35.2,-8,39,31,177,1.98,1.39
Nunki,斗宿四,18,55,15.9,-26,17,48,220,2.05,-0.13
Saiph,参宿六,5,47,45.4,-9,40,11,650,2.06,-0.17
Algol,大陵五,3,8,10.1,40,57,20,93,2.12,-0.05
Denebola,五帝座一,11,49,3.7,14,34,19,36,2.14,0.09
Lesath,尾宿九,17,30,45.7,-36,45,50,520,2.14,-0.18
Mizar,开阳,13,23,55.5,54,55,31,78,2.23,0.13
Algieba,轩辕十二,10,19,58.3,19,50,30,130,2.28,1.12
Mintaka,参宿三,5,32,0.4,0,17,57,900,2.23,-0.17
Merak,天璇,11,1,50.5,56,22,57,79,2.37,0.03
Phecda,天玑,11,53,49.8,53,41,41,84,2.44,0.0
Megrez,天权,12,15,25.6,57,1,57,81,3.31,0.08
Sargas,尾宿五,17,37,19.1,-29,49,40,270,1.87,0.4
Girtab,尾宿十,17,42,29.3,-34,5,56,290,1.87,0.68
Mirach,奎宿九,1,9,43.6,35,37,14,197,2.05,1.58
Almach,天大将军一,2,3,54.0,42,19,47,350,2.1,1.37
Hamal,娄宿三,2,7,10.4,23,27,45,66,2.01,1.15
Menkar,天囷一,3,2,16.8,4,5,38,220,2.54,1.64
Miram,天船四,2,31,50.0,53,50,39,580,3.2,-0.08
Mira,刍藁增二,2,19,20.8,-2,58,39,300,3.0,1.42
Kochab,北极二,14,50,42.3,74,9,20,131,2.08,1.47
Pherkad,北极一,15,20,43.7,71,50,2,487,3.0,-0.08
Thuban,右枢,14,4,23.3,64,22,33,303,3.65,-0.12
Markab,室宿一,23,4,56.0,15,12,19,133,2.49,-0.04
Scheat,室宿二,23,3,46.5,28,4,58,196,2.42,1.65
Enif,危宿三,21,44,11.1,9,52,30,670,2.39,1.52
Homam,壁宿三,22,28,49.1,10,8,51,335,3.41,-0.06
Sadalachbia,哭泣,22,49,36.6,-7,34,35,155,3.71,0.36
Sadalsuud,危宿一,21,31,33.5,-5,34,16,540,2.91,0.83
Sadalmelik,危宿二,22,5,47.2,0,19,11,760,2.95,0.97
Skat,羽林军一,22,54,39.0,-15,49,15,160,3.27,0.08
DenebAlgedi,垒壁阵四,21,47,18.0,-16,7,33,39,2.85,0.38
Nashira,垒壁阵三,21,35,23.8,-12,28,7,139,3.69,0.22
Sualocin,瓠瓜一,20,37,54.2,15,45,34,243,3.86,-0.04
Albireo,辇道增七,19,30,43.3,27,57,35,430,3.18,1.13
Sadr,天津一,20,22,13.7,40,15,24,1500,2.23,0.69
Aljanah,天津九,20,46,2.3,33,58,2,460,2.48,-0.02
Tarazed,河鼓一,19,46,58.1,10,36,53,460,2.72,1.52
Etamin,天棓四,17,56,36.4,51,29,20,154,2.23,1.52
Rastaban,天棓三,17,30,26.0,51,29,20,380,2.79,-0.11
Grumium,天棓二,17,12,9.7,56,53,21,309,3.07,1.02
Unukalhai,蜀,15,44,12.6,6,25,32,620,2.63,1.14
Rasalhague,候,17,34,33.1,12,33,36,48,2.08,0.16
Sabik,宋,17,10,23.0,-15,43,30,88,2.43,0.18
Dschubba,房宿三,16,0,20.1,-22,37,18,436,2.29,-0.12
Acrab,房宿四,16,5,26.2,-19,48,19,530,2.62,-0.08
PiSco,房宿二,15,58,18.0,-26,6,50,590,2.89,-0.18
Zubeneschamali,氐宿四,15,17,4.0,-9,22,58,185,2.61,-0.07
Zubenelgenubi,氐宿一,14,50,42.2,-16,2,30,75,2.75,0.15
Brachium,氐宿二,15,34,9.6,-25,17,17,285,3.29,1.61
Zosma,西上相,11,14,5.0,20,31,21,58,2.56,0.13
Chort,西次相,11,8,23.5,15,25,49,178,2.14,0.13
Adhafera,轩辕十一,10,27,45.1,23,42,22,274,3.43,0.56
RasElased,轩辕九,10,2,46.7,23,25,4,178,3.88,1.22
Alrescha,右更二,2,57,39.0,2,46,6,140,3.82,0.47
Sheratan,娄宿一,1,54,36.0,20,47,54,46,2.64,-0.04
Mesarthim,娄宿二,1,54,42.6,20,40,8,164,3.88,-0.03
Botein,天囷四,3,41,54.1,13,29,38,115,3.35,1.0
Rasalgethi,帝座,17,14,38.9,14,23,25,360,3.06,1.45
Sarin,天棓一,17,43,29.1,24,50,21,170,3.5,0.0
AlulaAustralis,西下相,11,18,11.0,31,47,4,27,3.79,0.59
LaSuperba,常陈七,12,47,43.2,45,39,15,710,4.05,2.5
YedPrior,宋,15,55,19.1,3,41,54,328,2.74,1.58
Cebalrai,宗正一,16,35,19.2,4,33,46,229,2.76,1.16
Sheliak,渐台二,18,50,4.4,33,21,59,960,3.52,-0.0
Sulafat,渐台三,18,58,56.6,32,41,22,620,3.24,-0.05
Muphrid,右摄提,13,53,2.8,18,40,26,37,2.35,0.81
Izar,梗河一,14,44,59.1,27,4,47,203,2.37,0.97
CorCaroli,常陈四,12,56,1.7,38,19,6,110,2.81,-0.02
Vindemiatrix,东次将,13,2,11.6,10,57,33,110,2.85,0.94
Porrima,东上相,12,41,39.6,-1,26,57,32,2.74,0.36
Auva,东次相,12,45,7.8,3,23,51,198,3.39,1.5
Heze,角宿二,13,34,37.5,-5,39,28,74,3.4,0.12
Zavijava,右执法,11,50,41.7,1,45,31,36,3.61,0.59
Algorab,轸宿三,12,29,51.0,-16,31,49,87,2.94,-0.05
Kraz,轸宿四,12,34,23.3,-23,23,48,140,2.65,0.89
Gienah,轸宿二,12,15,48.4,-17,32,31,154,2.58,-0.11
Mebsuta,井宿五,6,43,54.0,25,7,52,900,3.06,-0.08
Tejat,井宿一,6,22,54.0,22,30,49,230,2.87,1.6
Propus,井宿三,6,26,31.2,22,30,29,900,3.31,1.62
Alhena,井宿三,6,37,42.7,16,23,57,109,1.93,-0.02
Mirzam,军市一,6,22,42.0,-17,57,21,500,1.98,-0.24
Furud,弧矢二,6,8,23.5,-30,2,41,435,3.02,-0.2
Muliphein,天狼增四,7,2,25.5,-23,50,22,415,4.11,-0.1
Tureis,弧矢增四,8,3,19.2,-12,18,46,186,2.81,-0.13
Aspidiske,海石二,8,3,19.2,-12,18,46,186,2.21,-0.15
Gacrux,十字架一,12,31,9.9,-57,6,47,88,1.63,1.59
